Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
100,Nonlinear_4to6,3.7319328969630856,4.210900742306474,4.0,4.0,3.0924322891847416,5.0,3.562645435333252,4.0,1000.0,6.0,4.0
101,Nonlinear,4.304252228763589,3.3983286396838337,4.0,5.0,7.929946384784486,8.0,3.7728700637817383,4.0,1000.0,8.0,4.0
102,Nonlinear,6.884346735362727,6.730318666169076,7.0,7.0,11.846515167145137,12.0,5.663153648376465,6.0,1000.0,36.0,6.0
103,Nonlinear,9.183375445662545,10.414229470302624,9.0,11.0,15.61896186779241,16.0,7.495347023010254,8.0,1000.0,64.0,8.0
104,Nonlinear,12.994022877026104,17.454286633549152,13.0,18.0,24.170616160965167,24.0,11.948537826538086,12.0,1000.0,72.0,12.0
105,Spiral,1.7399576647923922,1.6147690525756604,2.0,2.0,2.0751654378892077,2.0,0.8885128498077393,1.0,1000.0,3.0,1.0
106,Spiral,1.7477834559486305,1.6993409523513545,2.0,2.0,2.1571799416337125,2.0,1.0798178911209106,1.0,1000.0,13.0,1.0
107,Helix1d,1.0869531630760154,1.242047317532817,1.0,1.0,2.6274858461744826,3.0,0.9077966213226318,1.0,1000.0,3.0,1.0
108,Helix1d,1.07600325312464,1.4534197408576517,1.0,1.0,2.642409411914878,3.0,0.9857177138328552,1.0,1000.0,13.0,1.0
109,Helix2d,2.762004875550029,2.3953111857166087,3.0,3.0,2.5631338955019416,3.0,1.781052827835083,2.0,1000.0,3.0,2.0
110,Helix2d,2.754625260915668,2.821077460496578,3.0,3.0,2.5700230925518146,3.0,1.8996984958648682,2.0,1000.0,13.0,2.0
111,Helicoid,2.1566865902703243,2.308570691058944,2.0,2.0,1.8224470051024113,2.0,1.8780720233917236,2.0,1000.0,3.0,2.0
112,Helicoid,2.114522045710499,2.315729735139423,2.0,2.0,1.8439852039386035,2.0,2.091702699661255,2.0,1000.0,13.0,2.0
113,Roll,1.950285155398007,2.2132762906522947,2.0,2.0,2.9719323404213656,3.0,2.023334264755249,2.0,1000.0,3.0,2.0
114,Roll,1.952455267414948,2.4180472019291783,2.0,2.0,3.0362159318065918,3.0,2.037951946258545,2.0,1000.0,13.0,2.0
115,Scurve,1.8921448186732457,1.9890818585727292,2.0,2.0,2.2050545556453227,3.0,1.9567432403564453,2.0,1000.0,3.0,2.0
116,Scurve,1.9310924582870181,1.976148004366736,2.0,2.0,2.1816531111352253,3.0,1.8683843612670898,2.0,1000.0,13.0,2.0
117,Moebius,2.098881442522275,1.3317953196977452,2.0,2.0,2.3381577813536216,3.0,2.0348591804504395,2.0,1000.0,3.0,2.0
118,Uniform,4.29775089489311,4.735772381690833,4.0,5.0,4.932655584097957,5.0,4.482677459716797,4.0,1000.0,10.0,5.0
119,Uniform,7.784665809329423,9.160928608505586,8.0,10.0,10.1870615192234,10.0,8.642029762268066,8.0,1000.0,15.0,10.0
120,Uniform,17.905019315016986,29.51620304759319,19.0,29.0,29.663222814479894,30.0,20.08217430114746,21.0,1000.0,35.0,30.0
121,Uniform,24.945002944132735,51.25374686322339,27.0,51.0,48.477116218247446,50.0,28.51152992248535,31.0,1000.0,55.0,50.0
122,Uniform,31.31046016661063,75.0,34.0,70.0,72.3465548792031,70.0,36.2033576965332,38.0,1000.0,75.0,70.0
123,Norm,13.880234756782952,20.0,15.0,20.0,19.74509463573792,20.0,13.277400016784668,15.0,1000.0,20.0,20.0
124,Norm,13.804224685957406,21.27280961567427,15.0,21.0,20.19890938950476,20.0,14.186927795410156,14.0,1000.0,50.0,20.0
125,Norm,24.33132628776245,50.0,27.0,47.0,51.01417102213402,50.0,24.39381217956543,26.0,1000.0,50.0,50.0
126,Norm,24.351645253891487,51.855574578122,27.0,46.0,50.01634559324772,50.0,24.585905075073242,26.0,1000.0,70.0,50.0
127,Paraboloid,2.7333923635539623,3.0309841689788164,3.0,3.0,1.8017837715761333,2.0,1.906341791152954,2.0,1000.0,12.0,3.0
128,Paraboloid,4.217300943517667,5.953504114853216,5.0,5.0,1.4658387098789405,1.0,2.5725934505462646,2.0,1000.0,21.0,6.0
129,Paraboloid,4.829885098975862,9.051146529165656,5.0,6.0,1.3055460696201306,1.0,3.424220085144043,3.0,1000.0,30.0,9.0
130,Paraboloid,4.838588019594154,12.354342758636905,6.0,7.0,1.21432127482181,1.0,2.9440324306488037,3.0,1000.0,39.0,12.0
131,Paraboloid,4.860060841949865,14.51629423954638,6.0,7.0,1.179233703931041,1.0,3.357466697692871,3.0,1000.0,48.0,15.0
132,Cubic,3.02759955598501,3.087765469136641,3.0,4.0,3.993321057230632,4.0,2.9158239364624023,3.0,1000.0,5.0,3.0
133,Cubic,18.080809124681007,28.644678760611555,19.0,30.0,30.42049033169575,31.0,21.09259796142578,21.0,1000.0,35.0,30.0
134,Cubic,30.942875442972973,71.71238902727441,33.0,68.0,70.47060616814753,71.0,34.36711883544922,35.0,1000.0,90.0,70.0
135,Sphere,2.936915883715027,2.997486828285413,3.0,4.0,3.9687318570064942,4.0,2.911929130554199,3.0,1000.0,5.0,3.0
136,Sphere,4.763667940902786,5.075589831827044,5.0,6.0,6.192787522145941,6.0,5.275633335113525,5.0,1000.0,10.0,5.0
137,Sphere,8.50555188638398,10.247909449462576,9.0,11.0,11.237060586229674,11.0,9.41440486907959,9.0,1000.0,15.0,10.0
138,Sphere,18.75879300904906,31.199604581642074,20.0,30.0,31.553099602556635,31.0,22.27625274658203,23.0,1000.0,35.0,30.0
139,Sphere,26.425935669089572,52.87908714151111,28.0,49.0,50.96001908818116,51.0,31.3289794921875,31.0,1000.0,55.0,50.0
140,Sphere,32.5687585139611,71.85327746733286,35.0,71.0,69.89986301200737,71.0,38.78885269165039,40.0,1000.0,75.0,70.0
141,Affine_3to5,2.7414431832092436,3.1122428207627095,3.0,3.0,2.626332071678733,3.0,2.8345422744750977,3.0,1000.0,5.0,3.0
142,Affine,4.284381778777666,5.0,4.0,5.0,4.924646048138925,5.0,4.504488945007324,5.0,1000.0,5.0,5.0
143,Affine,7.684399740056443,9.56169324672576,8.0,9.0,9.985467870092902,10.0,7.984188556671143,8.0,1000.0,10.0,10.0
144,Affine,13.21724439711616,19.594022862795008,14.0,19.0,19.980516433025684,20.0,14.707540512084961,14.0,1000.0,20.0,20.0
145,Nonlinear_4to6,3.6956680223359757,3.9171768642118328,4.0,4.0,3.100416094870835,5.0,3.6059224605560303,4.0,1000.0,6.0,4.0
146,Nonlinear,4.382662749853522,3.2534548653261424,4.0,5.0,7.896522121229715,8.0,3.8180348873138428,4.0,1000.0,8.0,4.0
147,Nonlinear,6.996015478539146,6.949823044796736,7.0,8.0,12.304958695981854,12.0,5.795685291290283,6.0,1000.0,36.0,6.0
148,Nonlinear,9.339752180019635,11.134340722200857,9.0,11.0,16.022105454129377,16.0,7.964322090148926,8.0,1000.0,64.0,8.0
149,Nonlinear,12.988763614577005,17.49365486358198,13.0,17.0,24.81693072870595,24.0,12.080082893371582,12.0,1000.0,72.0,12.0
150,Spiral,1.7180106518032092,1.4251145062164217,2.0,2.0,2.0838633424726662,2.0,0.9554095268249512,1.0,1000.0,3.0,1.0
151,Spiral,1.743111739926805,1.5771272448855176,2.0,2.0,2.050027591531927,2.0,1.095772624015808,1.0,1000.0,13.0,1.0
152,Helix1d,1.0807523791148592,1.2301294062405221,1.0,1.0,2.6141228925000144,3.0,1.0271183252334595,1.0,1000.0,3.0,1.0
153,Helix1d,1.0890196973380313,1.305292260186886,1.0,1.0,2.6317259584710913,3.0,1.0145316123962402,1.0,1000.0,13.0,1.0
154,Helix2d,2.7738722289518463,2.809373703769933,3.0,3.0,2.567998628678959,3.0,2.067741870880127,2.0,1000.0,3.0,2.0
155,Helix2d,2.749786701421273,2.635571426746191,3.0,3.0,2.562135373808908,3.0,2.056265354156494,2.0,1000.0,13.0,2.0
156,Helicoid,2.154151891234377,2.255889664954404,2.0,2.0,1.8241695506118565,2.0,1.908211588859558,2.0,1000.0,3.0,2.0
157,Helicoid,2.1141027854710197,2.240908123684655,2.0,2.0,1.8414292673788188,2.0,2.052135467529297,2.0,1000.0,13.0,2.0
158,Roll,1.9617588147740186,2.128233856668158,2.0,2.0,2.9476093883686634,3.0,1.838194727897644,2.0,1000.0,3.0,2.0
159,Roll,1.949447627624097,1.979532704185344,2.0,2.0,2.9616577410433678,3.0,1.9931082725524902,2.0,1000.0,13.0,2.0
160,Scurve,1.9410104330680573,2.117689666239591,2.0,2.0,2.2452737339419664,3.0,1.8837511539459229,2.0,1000.0,3.0,2.0
161,Scurve,1.8988747578241494,2.025106915389211,2.0,2.0,2.2230147445370405,3.0,1.8043346405029297,2.0,1000.0,13.0,2.0
162,Moebius,2.099161536117206,1.254896954266096,2.0,2.0,2.306985953637576,3.0,1.9239453077316284,2.0,1000.0,3.0,2.0
163,Uniform,4.283991564974198,4.752365125068594,5.0,5.0,5.062612641364076,5.0,5.1546430587768555,5.0,1000.0,10.0,5.0
164,Uniform,7.660161272236621,8.647075334429115,8.0,9.0,9.891790462309455,10.0,8.26203727722168,9.0,1000.0,15.0,10.0
165,Uniform,17.81143492053908,29.077745461324287,19.0,29.0,29.97775546237104,30.0,18.43553352355957,21.0,1000.0,35.0,30.0
166,Uniform,25.037523432249692,51.60204156437309,27.0,49.0,50.479728973271236,50.0,27.95118522644043,29.0,1000.0,55.0,50.0
167,Uniform,30.875326701883157,73.21666786325508,33.0,67.0,71.44787428977018,70.0,36.272926330566406,40.0,1000.0,75.0,70.0
168,Norm,13.887903339794127,20.0,15.0,20.0,20.24470405323878,20.0,13.968093872070312,15.0,1000.0,20.0,20.0
169,Norm,13.815426205672747,21.519375298230866,15.0,21.0,20.454393758566095,20.0,14.044336318969727,14.0,1000.0,50.0,20.0
170,Norm,24.602716566773232,50.0,27.0,48.0,49.292278951099554,50.0,25.35314178466797,27.0,1000.0,50.0,50.0
171,Norm,24.56494048748833,53.67763128787087,27.0,48.0,49.47436575868232,50.0,24.530824661254883,26.0,1000.0,70.0,50.0
172,Paraboloid,2.7182895432107896,3.10865338063142,3.0,3.0,1.8416929516865788,1.0,2.0950801372528076,2.0,1000.0,12.0,3.0
173,Paraboloid,4.173058618191164,5.851590594869803,5.0,5.0,1.4586342019280367,1.0,2.524360418319702,2.0,1000.0,21.0,6.0
174,Paraboloid,4.778293941126392,8.779366620076004,5.0,6.0,1.3121802521664954,1.0,2.401150703430176,2.0,1000.0,30.0,9.0
175,Paraboloid,4.975745245726808,12.18663672382693,6.0,7.0,1.229327700172977,1.0,3.417311668395996,3.0,1000.0,39.0,12.0
176,Paraboloid,4.661301669361716,13.729870464603966,6.0,7.0,1.1597491773122848,1.0,3.1625380516052246,3.0,1000.0,48.0,15.0
177,Cubic,3.065235732729587,3.204389286962242,3.0,4.0,4.013587428732506,4.0,2.921085834503174,3.0,1000.0,5.0,3.0
178,Cubic,18.356113509415284,30.283992999704413,19.0,30.0,31.106773502042095,31.0,19.679866790771484,21.0,1000.0,35.0,30.0
179,Cubic,31.341533236371546,76.16768009834585,34.0,72.0,73.43794401186166,71.0,35.73786163330078,39.0,1000.0,90.0,70.0
180,Sphere,2.978985947736451,3.121173237728192,3.0,4.0,3.9515586044526962,4.0,3.057387590408325,3.0,1000.0,5.0,3.0
181,Sphere,4.73226031064007,5.085991379326204,5.0,6.0,5.922891473370104,6.0,5.4407148361206055,5.0,1000.0,10.0,5.0
182,Sphere,8.60018382034486,10.624815440349971,9.0,11.0,11.277435073004568,11.0,9.074904441833496,9.0,1000.0,15.0,10.0
183,Sphere,18.96110657238629,32.36298271998999,20.0,30.0,29.157156144168308,31.0,23.309131622314453,23.0,1000.0,35.0,30.0
184,Sphere,26.495601731953553,50.89834059314077,29.0,51.0,51.332891975085126,51.0,33.32366943359375,31.0,1000.0,55.0,50.0
185,Sphere,32.312573053582774,65.53570440675082,35.0,69.0,69.00128847692265,71.0,36.56720733642578,42.0,1000.0,75.0,70.0
186,Affine_3to5,2.721745127692687,2.848703487513868,3.0,3.0,2.599043244150289,3.0,2.9523611068725586,3.0,1000.0,5.0,3.0
187,Affine,4.2569397431777976,5.0,4.0,5.0,4.945890234833052,5.0,4.718927383422852,5.0,1000.0,5.0,5.0
188,Affine,7.695089478733258,10.0,8.0,9.0,10.006912785006849,10.0,8.337924003601074,8.0,1000.0,10.0,10.0
189,Affine,13.330584867544532,20.0,14.0,19.0,19.953930485728392,20.0,14.618731498718262,15.0,1000.0,20.0,20.0
190,Nonlinear_4to6,3.7024867870530898,4.12885161126413,4.0,4.0,3.0534056094825877,5.0,3.5767712593078613,4.0,1000.0,6.0,4.0
191,Nonlinear,4.331786838047399,3.2528257161858405,4.0,5.0,7.793953861924874,8.0,3.734508752822876,4.0,1000.0,8.0,4.0
192,Nonlinear,7.007373600014078,6.7308414406830455,7.0,8.0,11.97407301595352,12.0,5.852542877197266,6.0,1000.0,36.0,6.0
193,Nonlinear,9.237673520939726,9.923076228677063,9.0,11.0,15.80751943232772,16.0,7.905553340911865,8.0,1000.0,64.0,8.0
194,Nonlinear,13.069827551045147,18.122046344043767,14.0,18.0,23.561770392880092,24.0,11.690677642822266,12.0,1000.0,72.0,12.0
195,Spiral,1.7458125866596321,1.5920556554795864,2.0,2.0,2.0807149923468002,2.0,1.0564405918121338,1.0,1000.0,3.0,1.0
196,Spiral,1.7410102922267308,1.5431796660897381,2.0,2.0,2.0945299606536683,2.0,0.9194614887237549,1.0,1000.0,13.0,1.0
197,Helix1d,1.0939079269849223,1.2836457593756003,1.0,1.0,2.6315313370454216,3.0,1.0579477548599243,1.0,1000.0,3.0,1.0
198,Helix1d,1.0974736857545235,1.2468348816424601,1.0,1.0,2.673610039965647,3.0,1.0128556489944458,1.0,1000.0,13.0,1.0
